Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
11,Nashville Predators,47-30-5,3-0,6-5,23-16-2,24-14-3,19-10-3,28-20-2,8-5-3,11-5-0,16-8-2,12-12-0,18-6-5,18-15-0,4-5-0,7-6-0,9-5-1,6-7-1,8-2-0,9-2-2,4-3-1
12,Los Angeles Kings,44-27-11,2-5,5-6,22-12-7,22-15-4,17-9-6,27-18-5,8-5-3,9-4-3,12-11-1,15-7-4,15-6-11,26-11-0,5-2-2,8-2-1,7-4-2,3-7-5,7-4-0,8-5-1,6-3-0
13,Tampa Bay Lightning,45-29-8,3-1,5-7,25-11-5,20-18-3,26-19-5,19-10-3,12-9-5,14-10-0,8-7-1,11-3-2,11-3-8,21-13-0,4-2-3,6-7-2,8-6-0,9-3-0,5-6-1,9-1-1,4-4-1
14,Vegas Golden Knights,45-29-8,4-2,7-6,27-12-2,18-17-6,15-14-3,30-15-5,6-9-1,9-5-2,16-5-3,14-10-2,17-3-8,20-17-0,9-0-1,6-5-3,7-5-1,7-5-1,4-5-1,8-5-1,4-4-0
15,New York Islanders,39-27-16,1-5,9-11,21-10-10,18-17-6,25-15-10,14-12-6,12-8-4,13-7-6,8-6-2,6-6-4,21-3-16,10-17-0,4-2-2,5-5-4,8-3-3,3-7-3,5-3-2,6-7-1,8-0-1
16,St. Louis Blues,43-33-6,5-2,7-4,25-14-2,18-19-4,16-15-1,27-18-5,9-6-1,7-9-0,11-13-2,16-5-3,17-3-6,15-21-0,3-3-1,9-6-0,6-8-0,8-4-1,4-5-1,9-5-1,4-2-2
17,Detroit Red Wings,41-32-9,3-1,11-8,23-13-5,18-19-4,25-19-6,16-13-3,15-7-4,10-12-2,7-9-0,9-4-3,18-11-9,15-15-0,6-3-1,6-4-2,5-9-1,9-2-2,7-3-0,3-9-2,5-2-1
18,Washington Capitals,40-31-11,4-5,4-6,22-12-7,18-19-4,25-18-7,15-13-4,9-9-6,16-9-1,5-8-3,10-5-1,20-2-11,12-24-0,4-3-1,8-3-1,5-5-4,5-7-1,5-4-2,9-5-1,4-4-1
19,Pittsburgh Penguins,38-32-12,2-3,4-9,23-14-4,15-18-8,23-18-9,15-14-3,10-10-4,13-8-5,7-7-2,8-7-1,12-10-12,18-13-0,3-6-0,8-4-1,7-3-3,4-4-3,5-5-1,5-8-3,6-2-1
20,Minnesota Wild,39-34-9,3-3,4-7,20-16-5,19-18-4,15-11-6,24-23-3,8-5-3,7-6-3,9-14-3,15-9-0,12-11-9,16-17-0,3-4-2,4-6-2,9-5-0,5-8-1,7-3-1,7-3-3,4-5-0
21,Philadelphia Flyers,38-33-11,4-3,4-8,20-17-4,18-16-7,19-24-7,19-9-4,9-13-2,10-11-5,10-3-3,9-6-1,17-9-11,12-20-0,4-4-1,7-6-1,8-2-3,6-7-1,6-3-1,5-7-3,2-4-1
22,Buffalo Sabres,39-37-6,2-1,4-5,21-19-1,18-18-5,24-20-6,15-17-0,11-12-3,13-8-3,6-10-0,9-7-0,11-11-6,18-17-0,4-5-0,6-6-2,5-8-2,7-4-0,6-5-0,7-7-1,4-2-1
23,Calgary Flames,38-39-5,0-4,6-1,21-19-1,17-20-4,14-15-3,24-24-2,9-6-1,5-9-2,11-12-1,13-12-1,13-8-5,16-17-0,2-6-1,8-4-2,5-6-2,7-6-0,7-3-0,5-9-0,4-5-0
24,New Jersey Devils,38-39-5,0-2,5-3,17-21-3,21-18-2,23-24-3,15-15-2,12-11-1,11-13-2,9-5-2,6-10-0,15-8-5,16-22-0,5-2-1,6-7-0,8-5-1,5-6-1,6-5-1,6-9-0,2-5-1
25,Seattle Kraken,34-35-13,3-4,3-9,17-18-6,17-17-7,15-13-4,19-22-9,7-6-3,8-7-1,7-12-5,12-10-4,13-7-13,14-19-0,3-5-2,5-5-4,6-4-3,7-5-1,5-3-1,4-8-2,4-5-0
26,Ottawa Senators,37-41-4,5-0,7-4,21-18-2,16-23-2,27-21-2,10-20-2,15-9-2,12-12-0,5-10-1,5-10-1,14-10-4,15-19-0,4-4-0,4-5-0,6-9-0,6-7-2,5-4-1,8-7-1,4-5-0
27,Arizona Coyotes,36-41-5,2-0,6-5,22-19-0,14-22-5,15-17-0,21-24-5,8-8-0,7-9-0,9-14-3,12-10-2,14-10-5,16-22-0,4-4-0,7-5-2,8-5-0,4-8-1,0-9-2,8-7-0,5-3-0
28,Montreal Canadiens,30-36-16,4-8,6-8,16-20-5,14-16-11,16-22-12,14-14-4,5-13-8,11-9-4,9-6-1,5-8-3,17-11-16,7-22-0,5-2-2,5-9-0,5-5-3,5-5-3,3-7-1,5-5-3,2-3-4
29,Columbus Blue Jackets,27-43-12,3-2,3-10,17-19-5,10-24-7,13-29-8,14-14-4,6-13-5,7-16-3,6-9-1,8-5-3,9-8-12,11-22-0,3-4-2,4-9-2,5-5-4,4-6-2,3-6-0,5-8-2,3-5-0
30,Anaheim Ducks,27-50-5,1-2,5-3,12-26-3,15-24-2,13-17-2,14-33-3,7-7-2,6-10-0,6-16-2,8-17-1,13-12-5,8-22-0,5-4-0,4-10-0,4-9-0,5-7-2,3-5-1,3-12-1,3-3-1
31,Chicago Blackhawks,23-53-6,1-1,5-5,16-21-4,7-32-2,8-22-2,15-31-4,5-10-1,3-12-1,6-17-3,9-14-1,12-9-6,7-27-0,3-6-0,4-8-0,4-9-2,3-11-0,1-6-3,7-7-0,1-6-1
32,San Jose Sharks,19-54-9,1-5,4-4,11-25-5,8-29-4,8-23-1,11-31-8,3-12-1,5-11-0,4-15-5,7-16-3,12-9-9,4-33-0,0-8-1,5-8-1,4-9-1,5-7-2,1-6-0,2-10-3,2-6-1
